startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
M184,M188,07:20:21,3,-1,1,MY9491,16
C655,C657,07:20:31,3,-1,1,MY9211,50
M137/2,M132/1,07:20:31,3,-1,1,MY9282,40
T327,T326/2,07:20:59,3,-1,1,MY9362,27
C657,C686,07:21:09,3,-1,-1,MY9211,23
M188,M203/2,07:21:12,3,-1,-1,MY9491,40
T360,T376/1,07:21:23,3,-1,1,MY9487,98
T316,T345/5,07:21:34,3,-1,-1,MY9278,102
M95/3,M22,07:21:37,3,-1,-1,MY9154,146
T326/2,T337,07:21:54,3,-1,-1,MY9362,44
M132/1,M200,07:22:11,3,-1,3,MY9282,62
T376/1,T363/1,07:22:14,3,-1,1,MY9487,44
M203/2,M277,07:22:21,3,-1,-1,MY9491,55
T337,T334,07:22:24,3,-1,-1,MY9362,23
C686,C656,07:22:41,3,-1,1,MY9211,30
T363/1,T374,07:22:55,3,-1,1,MY9487,33
T345/5,T344,07:23:05,3,-1,1,MY9278,57
T374,T406,07:23:29,3,-1,1,MY9487,23
M200,M201,07:23:32,3,-1,-1,MY9282,77
T334,T430,07:23:49,3,-1,-1,MY9362,53
T344,T356/1,07:24:02,3,-1,1,MY9278,33
C656,C654/3,07:24:13,3,-1,1,MY9211,47
M22,M10,07:24:37,3,-1,2,MY9154,102
M277,M182/1,07:24:44,3,-1,1,MY9491,132
M201,M121,07:24:47,3,-1,1,MY9282,61
M121,M119,07:25:38,3,-1,2,MY9282,30
T356/1,T358,07:25:48,3,-1,1,MY9278,98
M10,M16/1,07:26:19,3,-1,-1,MY9154,47
T358,T373/2,07:26:33,3,-1,1,MY9278,34
T373/2,T375,07:27:06,3,-1,1,MY9278,26
C654/3,C653/2,07:27:27,3,-1,1,MY9211,47
M119,M113,07:28:15,3,-1,-1,MY9282,102
T375,T380,07:28:31,3,-1,2,MY9278,61
T430,M177,07:28:35,3,-1,1,MY9362,275
M182/1,T431,07:28:45,3,-1,1,MY9491,193
T380,T379,07:29:08,3,-1,2,MY9278,13
