startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
C689/1,T360,08:02:59,3,-1,-1,AB5425,123
T336/2,T335/2,08:03:12,3,-1,1,AC1346,47
C676,C680,08:03:39,3,-1,-1,AB5900,61
T360,T376/1,08:04:03,3,-1,1,AB5425,43
T335/2,T338,08:04:10,3,-1,-1,AC1346,13
C680,C669/1,08:04:30,3,-1,-1,AB5900,20
T376/1,T363/1,08:05:00,3,-1,1,AB5425,47
T338,T326/3,08:05:31,3,-1,-1,AC1346,63
C669/1,C693,08:06:15,3,-1,1,AB5900,60
T363/1,T306,08:06:22,3,-1,1,AB5425,57
T326/3,T332/2,08:06:55,3,-1,1,AC1346,54
C693,C681,08:07:37,3,-1,-1,AB5900,75
T306,T314/2,08:07:37,3,-1,-1,AB5425,48
T314/2,T318,08:08:03,3,-1,-1,AB5425,10
T318,T319,08:08:44,3,-1,-1,AB5425,3
C681,C671,08:08:58,3,-1,-1,AB5900,47
T332/2,T325/2,08:09:11,3,-1,-1,AC1346,81
T319,T320,08:09:31,3,-1,-1,AB5425,33
T320,T321/2,08:10:15,3,-1,-1,AB5425,10
T325/2,T339/4,08:10:29,3,-1,-1,AC1346,20
T320,T321/2,08:10:29,3,-1,-1,AB5425,10
C671,C695,08:10:49,3,-1,-1,AB5900,80
T321/2,T323,08:11:19,3,-1,1,AB5425,26
T323,T324/2,08:11:57,3,-1,1,AB5425,10
T339/4,T313,08:12:07,3,-1,1,AC1346,84
C695,C673,08:12:32,3,-1,-1,AB5900,89
C695,C673,08:12:45,3,-1,-1,AB5900,3
T313,T315,08:13:15,3,-1,1,AC1346,20
C673,C672,08:13:26,3,-1,1,AB5900,30
T324/2,T327,08:14:02,3,-1,1,AB5425,66
T315,T375,08:14:56,3,-1,1,AC1346,90
T327,T326/1,08:15:16,3,-1,1,AB5425,30
T375,T380,08:16:02,3,-1,-1,AC1346,28
C672,C670,08:16:15,3,-1,-1,AB5900,117
T380,T379,08:16:26,3,-1,1,AC1346,10
T326/1,T337,08:16:39,3,-1,-1,AB5425,72
C670,C679,08:17:00,3,-1,-1,AB5900,34
C692,C689/1,08:17:16,3,-1,1,AB5744,89
T379,T359,08:17:20,3,-1,1,AC1346,23
T359,T355/1,08:18:54,3,-1,1,AC1346,84
C679,C694,08:18:58,3,-1,-1,AB5900,108
C694,C669/2,08:19:49,3,-1,-1,AB5900,44
C669/2,C687,08:20:31,3,-1,-1,AB5900,20
C689/1,T360,08:20:31,3,-1,1,AB5744,109
C687,C675,08:21:49,3,-1,1,AB5900,67
C675,C668,08:22:16,3,-1,1,AB5900,20
T360,T376/1,08:22:16,3,-1,1,AB5744,71
C668,C678,08:22:40,3,-1,1,AB5900,13
C678,C665,08:23:14,3,-1,1,AB5900,27
C665,C663,08:23:37,3,-1,1,AB5900,16
C663,C661,08:24:14,3,-1,1,AB5900,30
C661,C659,08:24:48,3,-1,1,AB5900,23
T376/1,T363/1,08:24:48,3,-1,1,AB5744,138
C659,C656,08:25:49,3,-1,2,AB5900,40
C688/1,C691,08:26:14,3,-1,1,AC1346,136
C656,C654/2,08:26:55,3,-1,2,AB5900,58
T363/1,T306,08:26:55,3,-1,1,AB5744,55
C691,C652,08:28:08,3,-1,1,AC1346,90
C691,C652,08:28:15,3,-1,1,AC1346,2
T306,T314/2,08:28:15,3,-1,-1,AB5744,48
C654/2,C653/2,08:29:02,3,-1,2,AB5900,68
C652,C655,08:29:16,3,-1,-1,AC1346,36
T318,T319,08:29:41,3,-1,-1,AB5744,3
C655,C657,08:30:28,3,-1,-1,AC1346,44
T319,T320,08:30:32,3,-1,-1,AB5744,34
C653/2,C692,08:30:57,3,-1,1,AB5900,94
T320,T321/2,08:31:22,3,-1,-1,AB5744,18
C657,C660,08:31:29,3,-1,1,AC1346,35
C660,C662,08:32:10,3,-1,1,AC1346,20
T321/2,T323,08:32:23,3,-1,1,AB5744,20
C662,C664,08:32:44,3,-1,1,AC1346,23
C664,C666,08:33:11,3,-1,1,AC1346,16
T323,T324/2,08:33:14,3,-1,1,AB5744,13
C692,C689/1,08:33:18,3,-1,1,AB5900,37
C666,C677,08:33:28,3,-1,-1,AC1346,13
C677,C667,08:34:16,3,-1,1,AC1346,23
T336/2,T335/2,08:34:19,3,-1,1,AB5425,30
C667,C676,08:34:36,3,-1,-1,AC1346,17
T324/2,T327,08:34:40,3,-1,1,AB5744,75
T335/2,T338,08:35:03,3,-1,-1,AB5425,13
T327,T326/1,08:35:23,3,-1,1,AB5744,23
C676,C680,08:35:34,3,-1,-1,AC1346,47
C680,C669/1,08:36:25,3,-1,-1,AC1346,27
T338,T326/3,08:36:45,3,-1,-1,AB5425,64
C689/1,T360,08:37:09,3,-1,1,AB5900,139
T326/1,T337,08:37:16,3,-1,1,AB5744,95
C669/1,C693,08:37:26,3,-1,1,AC1346,48
T326/3,T332/2,08:37:33,3,-1,1,AB5425,37
C693,C681,08:38:41,3,-1,-1,AC1346,64
T360,T376/1,08:38:54,3,-1,1,AB5900,36
C681,C671,08:39:45,3,-1,-1,AC1346,50
T332/2,T325/2,08:40:05,3,-1,1,AB5425,70
T325/2,T339/4,08:40:53,3,-1,-1,AB5425,13
T376/1,T363/1,08:40:53,3,-1,2,AB5900,98
C671,C695,08:41:36,3,-1,-1,AC1346,84
T339/4,T313,08:42:55,3,-1,3,AB5425,112
C695,C673,08:43:25,3,-1,-1,AC1346,94
T363/1,T306,08:43:46,3,-1,2,AB5900,133
C673,C672,08:44:03,3,-1,-1,AC1346,24
T313,T315,08:44:07,3,-1,3,AB5425,27
T306,T314/2,08:44:45,3,-1,-1,AB5900,48
T314/2,T318,08:45:54,3,-1,-1,AB5900,4
T315,T375,08:46:13,3,-1,1,AB5425,98
T318,T319,08:47:04,3,-1,-1,AB5900,10
T375,T380,08:47:41,3,-1,-1,AB5425,43
C672,C670,08:48:05,3,-1,-1,AC1346,182
T319,T320,08:48:12,3,-1,-1,AB5900,54
T380,T379,08:48:25,3,-1,1,AB5425,10
C670,C679,08:48:53,3,-1,-1,AC1346,41
T320,T321/2,08:48:56,3,-1,-1,AB5900,13
T379,T359,08:50:06,3,-1,1,AB5425,76
T321/2,T323,08:50:16,3,-1,1,AB5900,24
T323,T324/2,08:50:46,3,-1,1,AB5900,13
T359,T355/1,08:51:14,3,-1,3,AB5425,61
C679,C694,08:51:51,3,-1,-1,AC1346,165
C694,C669/2,08:52:38,3,-1,-1,AC1346,30
T324/2,T327,08:53:05,3,-1,1,AB5900,93
C669/2,C687,08:53:15,3,-1,-1,AC1346,23
T327,T326/1,08:54:09,3,-1,1,AB5900,30
C687,C675,08:54:20,3,-1,-1,AC1346,57
C675,C668,08:54:43,3,-1,1,AC1346,16
C668,C678,08:55:07,3,-1,1,AC1346,10
C678,C665,08:55:30,3,-1,1,AC1346,16
T326/1,T337,08:55:30,3,-1,1,AB5900,74
C665,C663,08:55:57,3,-1,1,AC1346,16
C663,C661,08:56:34,3,-1,1,AC1346,27
C688/1,C691,08:56:52,3,-1,1,AB5425,31
C661,C659,08:57:19,3,-1,-1,AC1346,20
C659,C656,08:58:33,3,-1,1,AC1346,36
C691,C652,08:59:04,3,-1,1,AB5425,101
C656,C654/2,08:59:27,3,-1,1,AC1346,44
C652,C655,08:59:44,3,-1,-1,AB5425,30
C654/2,C653/2,09:00:49,3,-1,1,AC1346,44
C655,C657,09:00:56,3,-1,-1,AB5425,41
C657,C660,09:01:45,3,-1,-1,AB5425,38
C660,C662,09:02:34,3,-1,-1,AB5425,20
C653/2,C692,09:02:47,3,-1,1,AC1346,86
C662,C664,09:03:11,3,-1,-1,AB5425,27
C664,C666,09:03:38,3,-1,-1,AB5425,16
C666,C677,09:04:06,3,-1,1,AB5425,20
C677,C667,09:04:36,3,-1,-1,AB5425,23
C667,C676,09:05:03,3,-1,-1,AB5425,17
C692,C689/1,09:05:52,3,-1,1,AC1346,144
C676,C680,09:06:13,3,-1,-1,AB5425,62
C680,C669/1,09:06:51,3,-1,-1,AB5425,23
C669/1,C693,09:08:03,3,-1,1,AB5425,54
T336/2,T335/2,09:08:20,3,-1,1,AB5900,50
C689/1,T360,09:08:33,3,-1,1,AC1346,132
T335/2,T338,09:09:00,3,-1,1,AB5900,20
C693,C681,09:09:31,3,-1,-1,AB5425,77
T360,T376/1,09:09:31,3,-1,1,AC1346,40
C681,C671,09:10:52,3,-1,-1,AB5425,57
T376/1,T363/1,09:10:55,3,-1,3,AC1346,77
T338,T326/3,09:11:26,3,-1,-1,AB5900,95
T363/1,T306,09:12:07,3,-1,3,AC1346,41
C671,C695,09:12:31,3,-1,-1,AB5425,91
T326/3,T332/2,09:13:08,3,-1,1,AB5900,88
T318,T319,09:14:23,3,-1,-1,AC1346,53
C695,C673,09:14:30,3,-1,-1,AB5425,88
T332/2,T325/2,09:14:33,3,-1,1,AB5900,70
T325/2,T339/4,09:14:57,3,-1,1,AB5900,10
T319,T320,09:15:00,3,-1,-1,AC1346,26
C673,C672,09:15:10,3,-1,-1,AB5425,33
T320,T321/2,09:15:41,3,-1,-1,AC1346,13
T321/2,T323,09:16:18,3,-1,-1,AC1346,20
T323,T324/2,09:16:55,3,-1,-1,AC1346,9
T339/4,T313,09:17:02,3,-1,-1,AB5900,81
T313,T315,09:18:10,3,-1,-1,AB5900,16
C672,C670,09:18:23,3,-1,-1,AB5425,148
T324/2,T327,09:18:30,3,-1,1,AC1346,60
T327,T326/1,09:19:05,3,-1,1,AC1346,21
C670,C679,09:19:29,3,-1,-1,AB5425,42
T315,T375,09:19:36,3,-1,2,AB5900,72
T326/1,T337,09:20:11,3,-1,-1,AC1346,58
C679,C694,09:21:11,3,-1,-1,AB5425,95
T375,T380,09:21:39,3,-1,-1,AB5900,74
C694,C669/2,09:22:02,3,-1,-1,AB5425,37
T380,T379,09:22:27,3,-1,1,AB5900,14
C669/2,C687,09:22:50,3,-1,1,AB5425,27
T379,T359,09:22:54,3,-1,1,AB5900,13
T359,T355/1,09:23:58,3,-1,2,AB5900,50
